id,name,rewardNodes,activityId,addressId,statisticId,updatedByAccountId,createdByAccountId,write_id
defaultZoneAId,defaultZoneA,3,,defaultAddressId,129,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,f4883860-ea0e-4faa-aa19-40541bbf01fb
yka6ny5jgped8pshetjk2xv0,索菲亚街道,,,ir7vpvh6cn062rb9yyo285z3,130,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,0b6ed1df-11d9-4267-b72b-c590464bb8b4
kw9hn61jtz62gz8wmy2u0qt6,索菲亚政厅,,,ir7vpvh6cn062rb9yyo285z3,131,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,af78703e-ac39-4f57-90b5-b1117c67e755
t68qcalvuucspakf8gdo10ez,索菲亚街道·铁匠铺,0,,ir7vpvh6cn062rb9yyo285z3,132,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,ab648ca1-dafc-4fc9-af4e-fe71dc1ee0f8
ypbuvyfskru45o3qqi0ul9qb,索菲亚街道·合成所,0,,ir7vpvh6cn062rb9yyo285z3,133,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,e0cb94a7-ed56-4228-ab50-12494a024a7d
y799xi841c4ii2098caafkqz,索菲亚街道·图书馆,0,,ir7vpvh6cn062rb9yyo285z3,134,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,21af93f0-59e7-48b6-9bd7-8b776ecfec9c
yiqs3m6u69vniucp2bxdbq7m,索菲亚地下水道,0,,ir7vpvh6cn062rb9yyo285z3,135,cluhz95c5000078elg5r46i83,cluhz95c5000078elg5r46i83,a7648375-96e9-4ee4-8f57-c6160eccb445
eo3gwx53vxeyvzjlubu15hcb,规划中地区,0,,xo17tukpqxgbtikkinydws1a,mnw3w3mkiq6m3s1rqcrop25h,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,69999a4c-c522-4ab3-948d-ea25e3250510
nunnmd1lquu530b2sy1nyjue,渊底的遗迹,0,,rpja8f24eyjhtoz3v93y0meq,crbrt983xjaajflvgtkg6e2e,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,8e1daed6-bfff-4f63-bc6c-286ebf47757d
owo9lsq5jv8z4cpkxe2becth,渊底的遗迹·B1,0,,rpja8f24eyjhtoz3v93y0meq,iat2r13yyz93p4f7z62do5i6,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,72302e95-ebb1-4027-ab48-6685b9c85aba
dae4wga4salqkrtu2944r4lb,渊底的遗迹·B2,0,,rpja8f24eyjhtoz3v93y0meq,iyb5649ksqwmeigsq59nftjm,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,5e45d028-8390-4d9d-80ae-07c4e439d1ba
dl463r3kjr3hzru77attf0zb,雷谷盐原·游民营,0,,wil39diri1wg58slh3rjfuly,ew2lzevjtuiuvub40g551xqa,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,f6de4f10-051b-4d10-a62f-8e43795af216
i3k0kvjjddx206t0ickm50sz,渊底的遗迹·最深处,0,,rpja8f24eyjhtoz3v93y0meq,qli42dwt7ostw2y5yly62sp1,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,c9238532-f031-43ac-a40d-f1df63ec3337
mroroh6vjecxka9eh8ljta8v,凯渥斯峡谷·龙洞穴,0,,spjg4w13lzndfqp90oqsw3ty,wrkrb07yqbibjbupy9ozjf4d,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,0e261553-9bca-4808-8e2a-41f499780876
nicd7kzvtupu6ciwhf81ytgo,凯渥斯峡谷,0,,spjg4w13lzndfqp90oqsw3ty,pdngihrr10wugjykss87njmr,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,a5f4da0e-14ff-4e96-9ccd-4ef1c4da89fd
ezj4u6wzzgpw6f6e4cp0fiys,莱卡平原,0,,bzctanykfeuk652bqvx1w9nu,zoakg83guzthcln7wrh1f2r6,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,4e1c4a00-4783-4457-98e1-a6d1d9acb945
jixntkmt2lq1c918nn2zap2b,废弃的寺院街,0,,t1ajct1o2wuwgikcceaqu2mu,aaa1v01cd8gnzwjj61vlpvgl,q6gowl4pci6oi0hmvks4nl7f,q6gowl4pci6oi0hmvks4nl7f,ca54444a-f072-4197-86ee-1b249cb37f66
